Class Name,Command,Name,Order,Optional,Allow Multiple
PassMessage,PASS,Password,1,,
NickMessage,NICK,Nickname,1,,
UserMessage,USER,User,1,,
UserMessage,USER,Mode,2,,
UserMessage,USER,Unused,3,,
UserMessage,USER,Realname,4,,
OperMessage,OPER,Name,1,,
OperMessage,OPER,Password,2,,
UserModeMessage,MODE,Nickname,1,,
UserModeMessage,MODE,Modeflag,2,,
ServiceMessage,SERVICE,Nickname,1,1,
ServiceMessage,SERVICE,Reserved,2,,
ServiceMessage,SERVICE,Distribution,3,,
ServiceMessage,SERVICE,Type,4,1,
QuitMessage,QUIT,Quitmessage,1,1,
SquitMessage,SQUIT,Server,1,,
SquitMessage,SQUIT,Comment,2,,
JoinMessage,JOIN,Channel,1,,1
JoinMessage,JOIN,Key,2,,1
JoinMessage,JOIN,Leaveall,3,,
PartMessage,PART,Channel,1,,1
PartMessage,PART,Partmessage,2,1,
ChannelModeMessage,MODE,Channel,1,,
ChannelModeMessage,MODE,Modeflag,2,,
ChannelModeMessage,MODE,Modes,3,1,
ChannelModeMessage,MODE,Modeparams,4,1,
TopicMessage,TOPIC,Channel,1,,
TopicMessage,TOPIC,Topic,2,1,
NamesMessage,NAMES,Channel,1,,1
NamesMessage,NAMES,Target,2,1,
ListMessage,LIST,Channel,1,,1
ListMessage,LIST,Target,2,1,
InviteMessage,INVITE ,Nickname,1,,
InviteMessage,INVITE ,Channel,2,,
KickMessage,KICK,Channel,1,,
KickMessage,KICK,User,2,,1
KickMessage,KICK,Comment,3,,
PrivateMessage,PRIVMSG,Msgtarget,1,,
PrivateMessage,PRIVMSG,Message,2,,
NoticeMessage,NOTICE,Msgtarget,1,,
NoticeMessage,NOTICE,Message,2,,
MotdMessage,MOTD,Target,1,1,
LusersMessage,LUSERS,Mask,1,1,
LusersMessage,LUSERS,Target,2,1,
VersionMessage,VERSION,Target,1,,
StatsMessage,STATS,Query,1,1,
StatsMessage,STATS,Target,2,1,
LinksMessage,LINKS,Remoteserver,1,1,1
LinksMessage,LINKS,Servermask,2,1,
TimeMessage,TIME,Target,1,1,
ConnectMessage,CONNECT,Targetserver,1,,
ConnectMessage,CONNECT,Port,2,,
ConnectMessage,CONNECT,Remoteserver,3,1,
TraceMessage,TRACE,Target,1,1,
AdminMessage,ADMIN,Target,1,1,
InfoMessage,INFO,Target,1,1,
ServlistMessage,SERVLIST,Smask,1,1,
ServlistMessage,SERVLIST,Type,2,1,
SqueryMessage,SQUERY,Servicename,1,,
SqueryMessage,SQUERY,Text,2,,
WhoMessage,WHO,Mask,1,1,
WhoMessage,WHO,Listall,2,1,
WhoisMessage,WHOIS,Target,1,,
WhoisMessage,WHOIS,Mask,2,,1
WhowasMessage,WHOWAS,Nickname,1,,1
WhowasMessage,WHOWAS,Count,2,1,
WhowasMessage,WHOWAS,Target,3,1,
KillMessage,KILL,Nickname,1,,
KillMessage,KILL,Comment,2,,
PingMessage,PING,Server,1,1,
PongMessage,PONG,Server,1,1,
ErrorMessage,ERROR,Errormessage,1,,
